;parent;name;inner.name
0;Positive discrimination has to be used to increase diversity in university;Should positive discrimination be allowed?;What is the difference between affirmative action and positive discrimination?
1;Positive discrimination has to be used to increase diversity in university;Should positive discrimination be allowed?;Can discrimination be justified?
2;Positive discrimination has to be used to increase diversity in university;Why is positive discrimination allowed?;What is positive action UK?
3;Positive discrimination has to be used to increase diversity in university;Why is positive discrimination allowed?;What does positive action mean?
4;Positive discrimination has to be used to increase diversity in university;Why is positive discrimination allowed?;What is positive action on inclusion?
5;Positive discrimination has to be used to increase diversity in university;How does affirmative action promote diversity?;What is the difference between EEO affirmative action and diversity?
6;Positive discrimination has to be used to increase diversity in university;How does affirmative action promote diversity?;What does the policy of affirmative action require?
7;Positive discrimination has to be used to increase diversity in university;How does affirmative action promote diversity?;What are the goals of affirmative action?
8;Positive discrimination has to be used to increase diversity in university;Is affirmative action a good way to remedy discrimination?;What is the difference between equal opportunity and affirmative action?
9;Positive discrimination has to be used to increase diversity in university;Is affirmative action a good way to remedy discrimination?;Is affirmative action necessary?
10;Positive discrimination has to be used to increase diversity in university;Is affirmative action a good way to remedy discrimination?;What does affirmative action cover?
